date,x,y,z
2024-03-26 15:52:51.168417,-0.37,-9.84,0.16
2024-03-26 15:52:52.161922,4.69,-9.76,-2.81
2024-03-26 15:52:53.173810,-1.39,-10.04,0.89
2024-03-26 15:52:54.267657,-0.66,-9.91,-0.93
2024-03-26 15:52:55.130936,-2.34,-10.63,-1.61
2024-03-26 15:52:56.127156,-9.56,-10.55,-3.73
2024-03-26 15:52:57.170722,1.59,-8.96,-5.2
2024-03-26 15:52:58.329997,-1.7,-9.73,0.33
2024-03-26 15:52:59.129121,-1.44,-9.61,-0.15
2024-03-26 15:53:00.129964,7.08,-16.09,-8.49
2024-03-26 15:53:01.378472,-1.35,-12.36,3.81
2024-03-26 15:53:02.137918,-2.69,-14.2,-4.18
2024-03-26 15:53:03.388403,-1.83,-9.66,-0.27
2024-03-26 15:53:04.130039,-2.5,-9.47,-0.15
2024-03-26 15:53:05.145431,-6.85,-12.7,-2.15
2024-03-26 15:53:06.129579,-0.4,-6.0,-6.58
2024-03-26 15:53:07.129247,-2.99,-10.19,-1.63
2024-03-26 15:53:08.332149,-2.56,-9.55,0.58
2024-03-26 15:53:09.129262,-3.59,-11.62,2.06
2024-03-26 15:53:10.188940,-0.76,-13.54,1.58
2024-03-26 15:53:11.312327,-3.27,-9.13,-0.44
2024-03-26 15:53:12.293648,-3.63,-9.58,-0.46
2024-03-26 15:53:13.188634,-2.85,-13.01,7.69
2024-03-26 15:53:14.285123,-4.0,-12.39,4.05
2024-03-26 15:53:15.264551,-1.91,-10.84,3.87
2024-03-26 15:53:16.150323,-4.68,-8.96,-0.26
2024-03-26 15:53:17.242069,-3.5,-9.26,-0.47
2024-03-26 15:53:18.130891,-12.4,-8.61,-0.87
2024-03-26 15:53:19.222413,-1.04,-8.68,-2.65
2024-03-26 15:53:20.211803,0.23,-21.12,0.67
2024-03-26 15:53:21.151813,-3.48,-8.99,-1.24
2024-03-26 15:53:22.191486,-2.97,-9.28,0.74
2024-03-26 15:53:23.124801,-4.36,-9.59,-1.38
2024-03-26 15:53:24.188890,-13.19,-10.05,0.73
2024-03-26 15:53:25.163942,-3.77,-11.67,6.7
2024-03-26 15:53:26.126364,-2.01,-12.1,-5.3
2024-03-26 15:53:27.135062,-4.97,-18.65,-2.75
2024-03-26 15:53:28.131747,-3.94,-9.49,-1.66
2024-03-26 15:53:29.196127,-2.41,-9.4,1.19
2024-03-26 15:53:30.318077,-3.47,-9.36,0.07
2024-03-26 15:53:31.127908,-3.48,-9.21,-0.33
2024-03-26 15:53:32.154438,-6.89,-7.42,-18.01
2024-03-26 15:53:33.130998,-7.1,-6.5,-4.11
2024-03-26 15:53:34.142022,-7.85,-7.48,-9.55
2024-03-26 15:53:35.138609,-2.52,-9.59,0.3
2024-03-26 15:53:36.384878,-4.07,-9.43,0.9
2024-03-26 15:53:37.221332,-4.01,-8.91,-1.21
2024-03-26 15:53:38.363619,-2.48,-9.71,-0.13
2024-03-26 15:53:39.131248,-8.3,-11.53,-4.29
2024-03-26 15:53:40.224682,-7.26,-10.71,-1.37
2024-03-26 15:53:41.334309,2.91,-9.81,2.34
2024-03-26 15:53:42.131996,-4.5,-10.28,1.91
2024-03-26 15:53:43.144915,-5.48,-9.43,-0.75
2024-03-26 15:53:44.129639,-4.48,-8.75,-0.27
2024-03-26 15:53:45.133841,-2.45,-10.58,0.37
2024-03-26 15:53:46.131882,0.85,-9.12,-1.9
2024-03-26 15:53:47.140536,-3.35,-5.38,-4.25
2024-03-26 15:53:48.168185,-5.39,-10.18,-4.95
2024-03-26 15:53:49.276672,-3.94,-9.06,-0.54
2024-03-26 15:53:50.144832,-4.67,-9.42,-0.76
2024-03-26 15:53:51.198821,-4.51,-9.25,-5.05
2024-03-26 15:53:52.224554,-13.11,-6.07,-3.52
2024-03-26 15:53:53.152042,-1.91,-9.31,0.51
2024-03-26 15:53:54.130645,-0.03,-5.45,0.49
2024-03-26 15:53:55.193557,-3.82,-10.16,-0.27
2024-03-26 15:53:56.186093,-4.52,-8.85,-0.22
2024-03-26 15:53:57.166322,-5.2,-8.11,-0.4
2024-03-26 15:53:58.166888,-3.35,-9.27,-0.55
2024-03-26 15:53:59.138510,-15.16,-3.96,-5.42
2024-03-26 15:54:00.146956,-0.13,-10.69,0.46
2024-03-26 15:54:01.135601,-0.41,-5.43,-1.31
2024-03-26 15:54:02.155675,-4.97,-10.09,-2.43
2024-03-26 15:54:03.130959,-3.97,-9.13,0.51
2024-03-26 15:54:04.133767,-5.68,-7.63,0.45
2024-03-26 15:54:05.427729,-3.84,-8.82,0.08
2024-03-26 15:54:06.132960,-6.31,-9.36,-9.55
2024-03-26 15:54:07.261145,-1.61,-9.0,1.82
2024-03-26 15:54:08.397681,1.32,-4.1,0.1
2024-03-26 15:54:09.132007,-4.76,-11.86,-4.51
2024-03-26 15:54:10.202881,-4.11,-8.97,0.63
2024-03-26 15:54:11.292178,-5.75,-7.81,0.48
2024-03-26 15:54:12.136717,-4.11,-8.34,-0.56
2024-03-26 15:54:13.344847,-10.89,-7.52,-0.36
2024-03-26 15:54:14.334699,-4.02,-7.17,-3.83
2024-03-26 15:54:15.132501,-9.7,-5.18,3.31
2024-03-26 15:54:16.315525,-4.97,-9.12,-3.56
2024-03-26 15:54:17.140720,-3.66,-9.37,0.03
2024-03-26 15:54:18.199021,-5.05,-9.06,0.88
2024-03-26 15:54:19.132466,-5.73,-10.87,-6.98
2024-03-26 15:54:20.139743,-8.06,-10.28,-1.67
2024-03-26 15:54:21.265597,-9.87,-7.65,1.51
2024-03-26 15:54:22.260666,1.43,-6.94,-2.65
2024-03-26 15:54:23.168921,-7.53,-7.99,-4.63
2024-03-26 15:54:24.265663,-3.2,-9.19,0.51
2024-03-26 15:54:25.132737,-4.5,-8.33,0.71
2024-03-26 15:54:26.136006,-3.27,-9.23,0.03
2024-03-26 15:54:27.228948,-7.18,-7.24,-5.35
2024-03-26 15:54:28.134856,-1.8,-9.4,0.47
2024-03-26 15:54:29.147005,-2.77,-6.07,-3.5
2024-03-26 15:54:30.207244,-2.86,-10.28,4.42
2024-03-26 15:54:31.138447,-12.96,-7.75,0.05
2024-03-26 15:54:32.156741,-0.14,-4.95,0.11
2024-03-26 15:54:33.150394,-3.17,-13.03,2.81
2024-03-26 15:54:34.321099,-4.49,-9.11,0.39
2024-03-26 15:54:35.471553,-4.85,-8.7,-1.49
2024-03-26 15:54:36.135706,-10.4,-5.72,1.2
2024-03-26 15:54:37.155607,0.12,-8.56,1.25
2024-03-26 15:54:38.215015,-1.73,-5.23,-1.84
2024-03-26 15:54:39.134475,-5.48,-7.6,-1.41
2024-03-26 15:54:40.407252,-3.46,-9.09,0.85
2024-03-26 15:54:41.132261,-3.18,-9.67,0.14
2024-03-26 15:54:42.249754,-10.71,-9.37,6.31
2024-03-26 15:54:43.302176,-10.66,-11.69,0.07
2024-03-26 15:54:44.155794,-4.39,-6.98,-1.73
